minimum_nights,review_scores_rating,id,neighbourhood_cleansed
30,92.0,1496833,Western Addition
3,97.0,1498953,Bayview
3,98.0,1499630,Mission
1,97.0,1499843,Haight Ashbury
6,99.0,1504826,Outer Mission
1,97.0,1506702,Marina
3,99.0,1510363,Outer Mission
2,100.0,1511076,Mission
3,98.0,1520790,Western Addition
2,93.0,1520929,Potrero Hill
30,97.0,1520938,Western Addition
30,99.0,1524346,Bernal Heights
30,96.0,1525137,Pacific Heights
1,100.0,1525886,Bernal Heights
30,98.0,1530745,Nob Hill
30,94.0,1531273,Western Addition
30,89.0,1534021,Haight Ashbury
2,98.0,1535946,Castro/Upper Market
30,96.0,1537497,South of Market
30,97.0,1547477,Western Addition
5,97.0,1550913,Mission
2,94.0,1556680,Outer Richmond
30,93.0,1569288,Haight Ashbury
1,94.0,1578597,Potrero Hill
4,100.0,1579304,Bernal Heights
30,98.0,1584021,Mission
6,95.0,1587410,Mission
30,100.0,1588695,Castro/Upper Market
30,98.0,1589228,Bernal Heights
4,99.0,1598872,Western Addition
4,98.0,1598886,Marina
2,94.0,1605483,Haight Ashbury
30,93.0,1606292,Western Addition
2,96.0,1614453,Downtown/Civic Center
1,99.0,1614622,Western Addition
2,97.0,1615088,Western Addition
1,95.0,1615158,Outer Sunset
2,100.0,1618782,Western Addition
1,95.0,1620039,Downtown/Civic Center
3,96.0,1620411,Mission
3,98.0,1623609,Mission
2,98.0,1624068,Downtown/Civic Center
30,95.0,1627259,Nob Hill
30,96.0,1627455,Downtown/Civic Center
30,98.0,1629330,South of Market
1,98.0,1629740,Downtown/Civic Center
3,94.0,1633126,Excelsior
1,80.0,1633173,Excelsior
1,89.0,1633225,Excelsior
2,95.0,1633839,Mission
2,99.0,1633933,Haight Ashbury
3,97.0,1641060,West of Twin Peaks
2,100.0,1651228,Western Addition
4,94.0,1655446,Mission
30,86.0,1657512,Castro/Upper Market
3,98.0,1665516,Outer Richmond
1,99.0,1667732,Mission
2,99.0,1671260,Potrero Hill
3,99.0,1673011,Castro/Upper Market
30,80.0,1676460,Castro/Upper Market
1,98.0,1684346,Downtown/Civic Center
1,98.0,1687330,Inner Richmond
30,88.0,1696383,Western Addition
30,91.0,1696666,Western Addition
2,96.0,1699390,Mission
59,100.0,1711075,Bernal Heights
3,100.0,1721354,Haight Ashbury
3,98.0,1724819,Twin Peaks
30,93.0,1725833,South of Market
2,96.0,1725853,Outer Sunset
6,88.0,1728497,Western Addition
4,100.0,1733056,Mission
1,98.0,1738415,Western Addition
30,96.0,1740537,Noe Valley
2,99.0,1743201,Haight Ashbury
30,96.0,1747531,Inner Sunset
2,97.0,1750093,Potrero Hill
2,99.0,1752371,Bernal Heights
2,96.0,1759087,Potrero Hill
30,93.0,1767543,Western Addition
3,98.0,1767569,Western Addition
30,99.0,1768239,Haight Ashbury
3,99.0,1769688,Western Addition
3,93.0,1774026,Mission
5,94.0,1777429,Castro/Upper Market
1,94.0,1778650,Outer Richmond
2,95.0,1785463,West of Twin Peaks
3,100.0,1807012,Mission
30,93.0,1807493,South of Market
3,92.0,1810486,Western Addition
30,100.0,1814061,Mission
2,98.0,1815551,Noe Valley
30,100.0,1821543,Pacific Heights
1,96.0,1827177,Castro/Upper Market
31,100.0,1827638,Mission
30,99.0,1827653,Western Addition
30,98.0,1828443,Castro/Upper Market
3,98.0,1830541,Inner Richmond
30,95.0,1841832,Nob Hill
30,98.0,1844117,Western Addition
30,98.0,1844877,Potrero Hill
4,96.0,1847664,Inner Richmond
2,99.0,1855096,Potrero Hill
3,94.0,1857226,Diamond Heights
30,100.0,1861344,South of Market
3,93.0,1863106,Mission
3,93.0,1863316,Mission
30,96.0,1864390,Western Addition
30,93.0,1864545,Downtown/Civic Center
30,85.0,1865406,Western Addition
3,98.0,1868880,Pacific Heights
30,100.0,1869845,Castro/Upper Market
3,100.0,1881223,Mission
30,88.0,1885057,Haight Ashbury
30,97.0,1886260,Western Addition
30,94.0,1887206,Bayview
30,99.0,1898486,Noe Valley
4,100.0,1906323,Noe Valley
5,97.0,1906681,Potrero Hill
1,95.0,1907229,Western Addition
3,100.0,1909613,Mission
30,94.0,1914841,Western Addition
30,97.0,1919372,Haight Ashbury
1,97.0,1920033,Inner Sunset
1,97.0,1925206,Visitacion Valley
30,97.0,1925714,Financial District
2,96.0,1926253,Excelsior
30,99.0,1931459,Pacific Heights
1,92.0,1931763,Mission
2,98.0,1931788,Mission
2,99.0,1932019,Inner Sunset
4,97.0,1935904,Mission
3,95.0,1937575,Mission
3,100.0,1940496,Mission
28,98.0,1944306,South of Market
2,99.0,1944564,Mission
3,99.0,1945508,Haight Ashbury
30,95.0,1954263,Western Addition
3,95.0,1954514,Castro/Upper Market
1,96.0,1959880,Bernal Heights
3,100.0,1960773,Castro/Upper Market
6,99.0,1970257,Mission
30,88.0,1970756,Bernal Heights
2,98.0,1975404,Haight Ashbury
30,98.0,1978669,Financial District
30,100.0,1979461,South of Market
30,98.0,1984709,Outer Sunset
3,97.0,1985338,Bernal Heights
1,98.0,1989997,Haight Ashbury
2,98.0,1992217,Noe Valley
60,90.0,1992988,Haight Ashbury
2,99.0,1995487,Mission
2,95.0,1998111,Outer Mission
30,96.0,2001534,Bernal Heights
4,93.0,2007101,South of Market
3,84.0,2011311,Mission
1,94.0,2016198,Outer Sunset
5,96.0,2020393,Mission
3,100.0,2022751,Potrero Hill
3,100.0,2023326,Inner Richmond
6,99.0,2026910,Haight Ashbury
2,98.0,2042095,Outer Mission
2,96.0,2046634,Outer Mission
5,89.0,2046807,Mission
2,94.0,2047469,Outer Mission
