reviews_per_month,review_scores_rating,id
0.21,96.0,3200431
0.5,98.0,3201044
1.6,96.0,3205059
3.16,98.0,3218306
1.22,96.0,3221082
0.18,90.0,3225725
2.18,93.0,3230459
2.5,97.0,3240016
0.16,100.0,3246879
1.22,98.0,3250486
0.25,87.0,3256704
7.69,95.0,3257886
3.83,95.0,3257979
2.13,97.0,3261876
0.14,100.0,3262216
0.44,99.0,3263219
3.36,98.0,3271517
0.21,100.0,3280443
5.21,97.0,3290739
0.44,99.0,3292643
5.72,98.0,3309722
5.83,98.0,3311711
1.65,97.0,3312490
0.39,95.0,3319159
3.43,97.0,3319447
7.67,97.0,3325741
0.06,100.0,3326640
2.92,100.0,3333870
0.13,98.0,3333937
0.09,92.0,3343629
0.63,91.0,3354004
1.6,90.0,3354928
0.98,100.0,3355334
0.68,97.0,3376512
3.98,96.0,3376895
0.51,98.0,3377936
1.38,96.0,3384413
0.22,93.0,3385880
2.2,97.0,3391368
1.04,98.0,3394127
0.13,100.0,3395051
2.55,98.0,3402610
1.28,94.0,3415171
5.47,99.0,3416013
3.15,99.0,3433930
3.36,99.0,3441517
0.91,99.0,3441949
7.31,99.0,3442439
0.14,100.0,3469254
0.06,85.0,3475515
0.04,100.0,3476601
0.63,95.0,3479568
0.6,93.0,3482655
5.18,97.0,3486460
0.28,97.0,3505185
5.68,98.0,3506164
0.4,98.0,3519611
0.62,97.0,3520817
0.59,98.0,3522990
0.03,90.0,3532347
2.03,98.0,3534282
6.58,99.0,3549398
0.92,94.0,3563261
0.58,96.0,3565068
0.26,100.0,3585034
0.33,100.0,3591813
1.88,98.0,3594786
3.43,90.0,3611131
2.01,89.0,3612236
0.18,100.0,3613500
0.14,100.0,3630122
0.14,84.0,3655811
2.54,96.0,3656251
3.53,94.0,3664261
0.4,86.0,3664693
1.79,97.0,3672198
4.73,92.0,3689368
0.2,98.0,3697738
0.42,98.0,3712976
2.13,98.0,3716504
2.86,97.0,3718865
0.19,98.0,3719923
4.63,99.0,3720392
4.72,99.0,3721927
1.88,98.0,3727061
0.11,95.0,3743219
0.51,99.0,3757966
6.18,94.0,3759246
4.91,97.0,3759368
0.83,98.0,3761446
0.53,99.0,3767907
0.25,94.0,3775090
5.74,98.0,3780418
0.38,93.0,3791003
0.85,97.0,3792754
1.25,99.0,3793678
2.64,96.0,3793831
0.42,94.0,3808193
3.86,97.0,3811916
1.61,99.0,3812931
2.47,96.0,3832296
2.12,96.0,3844037
0.24,99.0,3852803
0.02,100.0,3862478
3.8,98.0,3870174
2.08,99.0,3877462
3.57,96.0,3883252
0.56,96.0,3889219
0.46,94.0,3890704
0.15,93.0,3895335
1.13,99.0,3895951
1.51,94.0,3924524
