price,guests_included,review_scores_rating,id
$95.00,1,99.0,840986
$65.00,1,89.0,845480
$60.00,1,88.0,845501
$585.00,1,93.0,845502
$60.00,1,89.0,848578
$300.00,2,99.0,851889
$168.00,1,100.0,856123
$135.00,1,97.0,859310
$109.00,1,97.0,859336
$179.00,2,96.0,862201
$141.00,1,100.0,863987
$375.00,1,96.0,865873
$150.00,1,100.0,867499
$95.00,2,96.0,867530
$549.00,1,99.0,867555
$145.00,2,97.0,870532
$360.00,4,97.0,870705
$110.00,1,73.0,872206
$425.00,4,95.0,873705
$190.00,4,97.0,878935
$475.00,3,93.0,881105
$175.00,1,97.0,883937
$123.00,1,96.0,884770
$269.00,3,91.0,890875
$575.00,5,100.0,893720
$206.00,2,92.0,899499
$295.00,1,96.0,900393
$545.00,1,98.0,900941
$199.00,1,100.0,902435
$85.00,1,97.0,905399
$185.00,3,92.0,905902
$93.00,1,100.0,909063
$150.00,1,98.0,911029
$859.00,10,99.0,915058
$240.00,1,99.0,918341
$57.00,1,90.0,923807
$175.00,2,95.0,929468
$400.00,4,92.0,930955
$101.00,1,84.0,931313
$990.00,1,100.0,932481
$115.00,1,95.0,934012
$250.00,1,97.0,936209
$200.00,3,95.0,937842
$130.00,1,94.0,938330
$136.00,3,100.0,943851
$275.00,2,97.0,945748
$79.00,2,98.0,950094
$55.00,1,78.0,955071
$220.00,6,97.0,958507
$131.00,1,96.0,961900
$140.00,3,95.0,964751
$600.00,6,99.0,964952
$105.00,1,95.0,968046
$175.00,1,99.0,968308
$360.00,1,97.0,968852
$99.00,1,92.0,971069
$115.00,1,99.0,971116
$300.00,1,100.0,975482
$181.00,1,99.0,980783
$495.00,6,93.0,982298
$75.00,1,87.0,983739
$250.00,4,98.0,991765
$135.00,1,97.0,992676
$95.00,1,84.0,992913
$53.00,1,89.0,997382
$90.00,2,99.0,998701
$325.00,6,94.0,1001415
$99.00,1,97.0,1001759
$272.00,2,98.0,1003756
$200.00,1,97.0,1005642
$230.00,6,92.0,1007157
$250.00,6,92.0,1011292
$59.00,1,93.0,1011751
$775.00,4,95.0,1015336
$399.00,4,95.0,1016604
$75.00,1,93.0,1017799
$65.00,1,92.0,1023586
$310.00,3,99.0,1029621
$259.00,1,95.0,1030352
$117.00,1,100.0,1031899
$300.00,6,98.0,1033754
$298.00,1,98.0,1036860
$140.00,2,86.0,1037251
$111.00,2,99.0,1043282
$180.00,1,97.0,1053666
$74.00,1,97.0,1056844
$10000.00,1,99.0,1059961
$76.00,1,95.0,1069167
$575.00,1,98.0,1076743
$120.00,1,94.0,1077444
$90.00,1,99.0,1080408
$595.00,2,98.0,1080980
$188.00,1,97.0,1083810
$180.00,4,93.0,1084068
$68.00,1,80.0,1087427
$100.00,1,96.0,1094207
$500.00,1,100.0,1098003
$500.00,1,99.0,1103797
$192.00,1,95.0,1104362
$159.00,4,89.0,1104912
$250.00,4,95.0,1106534
$950.00,2,98.0,1107014
$500.00,1,100.0,1109534
$175.00,2,98.0,1110001
$128.00,1,100.0,1110346
$149.00,2,95.0,1110787
$500.00,1,96.0,1121697
$120.00,2,99.0,1123125
$60.00,1,94.0,1125079
$49.00,1,95.0,1125115
$79.00,1,78.0,1130628
$138.00,4,97.0,1133372
$150.00,1,94.0,1135632
$225.00,2,96.0,1138420
$290.00,2,100.0,1138764
$90.00,3,84.0,1141986
