minimum_nights,review_scores_rating,id,neighbourhood
1,99.0,1043282,The Castro
31,97.0,1053666,Mission District
2,97.0,1056844,SoMa
58,99.0,1059961,SoMa
1,95.0,1069167,Bayview
2,98.0,1076743,Russian Hill
2,94.0,1077444,Richmond District
1,99.0,1080408,The Castro
1,98.0,1080980,SoMa
1,97.0,1083810,Noe Valley
7,80.0,1087427,Outer Sunset
30,96.0,1094207,Mission District
3,100.0,1098003,Duboce Triangle
2,99.0,1103797,Western Addition/NOPA
30,95.0,1104362,The Castro
2,89.0,1104912,Richmond District
30,95.0,1106534,Noe Valley
2,98.0,1107014,The Castro
2,100.0,1109534,Pacific Heights
30,98.0,1110001,Noe Valley
2,100.0,1110346,Nob Hill
30,95.0,1110787,Pacific Heights
30,96.0,1121697,Western Addition/NOPA
2,99.0,1123125,Potrero Hill
2,94.0,1125079,Balboa Terrace
2,95.0,1125115,Balboa Terrace
30,78.0,1130628,Haight-Ashbury
2,97.0,1133372,Glen Park
3,94.0,1135632,Mission District
30,96.0,1138420,Pacific Heights
1,100.0,1138764,SoMa
7,91.0,1142101,Outer Sunset
3,98.0,1148625,Haight-Ashbury
30,100.0,1151109,Cow Hollow
30,93.0,1159284,Telegraph Hill
30,94.0,1162640,Mission Terrace
2,99.0,1171918,SoMa
2,97.0,1174214,Marina
30,96.0,1174537,Telegraph Hill
30,100.0,1174758,Telegraph Hill
30,99.0,1177310,Noe Valley
30,99.0,1178260,Telegraph Hill
3,98.0,1178281,Alamo Square
4,93.0,1180103,Western Addition/NOPA
3,96.0,1182465,The Castro
2,96.0,1183521,Richmond District
30,98.0,1195173,Nob Hill
30,98.0,1200068,Sunnyside
30,99.0,1201159,SoMa
3,99.0,1203062,Mission District
3,96.0,1203172,Bernal Heights
1,88.0,1203526,Haight-Ashbury
1,99.0,1203684,Nob Hill
2,100.0,1203849,Noe Valley
30,98.0,1205031,SoMa
30,92.0,1206032,Crocker Amazon
1,86.0,1206184,Haight-Ashbury
1,84.0,1206233,Haight-Ashbury
1,89.0,1206261,Haight-Ashbury
2,96.0,1209893,Presidio Heights
2,100.0,1212513,The Castro
3,97.0,1212746,The Castro
10,98.0,1212822,Marina
3,99.0,1214080,Bernal Heights
3,97.0,1223107,Mission District
29,96.0,1223704,SoMa
3,91.0,1226596,Bernal Heights
31,93.0,1229606,SoMa
7,94.0,1237143,Russian Hill
10,98.0,1241029,Marina
3,95.0,1245838,Bernal Heights
30,75.0,1247160,Western Addition/NOPA
30,92.0,1249046,Western Addition/NOPA
2,97.0,1251570,Mission District
3,97.0,1261074,Duboce Triangle
3,96.0,1261122,Balboa Terrace
3,96.0,1267206,Noe Valley
5,99.0,1276953,Lower Haight
3,93.0,1277771,Richmond District
2,99.0,1281132,Bernal Heights
1,97.0,1281167,Downtown
2,100.0,1286943,Bernal Heights
4,100.0,1290935,Haight-Ashbury
2,98.0,1291092,Marina
30,97.0,1292217,Lower Haight
3,92.0,1301798,Mission District
30,100.0,1301843,Russian Hill
3,98.0,1304068,Duboce Triangle
30,95.0,1304808,Hayes Valley
3,100.0,1309496,Western Addition/NOPA
3,98.0,1317908,Western Addition/NOPA
1,98.0,1323983,The Castro
4,98.0,1324086,Cow Hollow
7,100.0,1328186,The Castro
30,98.0,1329465,SoMa
3,99.0,1332343,Haight-Ashbury
1,98.0,1333047,Mission District
30,92.0,1336798,Haight-Ashbury
2,97.0,1336998,Alamo Square
3,97.0,1340755,Potrero Hill
5,92.0,1344243,Richmond District
30,88.0,1344752,Western Addition/NOPA
30,93.0,1351626,Sunnyside
30,96.0,1351783,Outer Sunset
30,98.0,1352111,Pacific Heights
30,98.0,1355744,Lower Haight
2,95.0,1356129,Noe Valley
2,98.0,1356817,SoMa
30,100.0,1364882,Cow Hollow
30,94.0,1388523,Mission District
6,91.0,1391982,Mission District
3,97.0,1392204,Sunnyside
1,98.0,1393654,Inner Sunset
5,94.0,1397537,Bernal Heights
6,100.0,1405046,Richmond District
2,97.0,1407244,Potrero Hill
30,96.0,1407881,The Castro
1,98.0,1408281,The Castro
30,97.0,1409218,SoMa
2,99.0,1421671,Mission District
3,97.0,1421774,The Castro
3,98.0,1421937,Sunnyside
30,96.0,1428465,Noe Valley
